iter	Tweedie:variance_power=1.35
0	31660624.52
1	30878921.2
2	30116518.2
3	29372939.02
4	28647718.89
5	27940404.54
6	27250553.85
7	26577735.66
8	25921529.43
9	25281525.02
10	24657322.38
11	24048531.4
12	23454771.55
13	22875671.71
14	22310869.92
15	21760013.16
16	21222757.14
17	20698766.05
18	20187712.37
19	19689276.69
20	19203147.47
21	18729020.85
22	18266600.51
23	17815597.41
24	17375729.66
25	16946722.33
26	16528307.28
27	16120222.98
28	15722214.37
29	15334032.68
30	14955435.29
31	14586185.57
32	14226052.71
33	13874811.63
34	13532242.79
35	13198132.08
36	12872270.68
37	12554454.89
38	12244486.1
39	11942170.54
40	11647319.27
41	11359747.99
42	11079276.97
43	10805730.92
44	10538938.85
45	10278734.02
46	10024953.78
47	9777439.526
48	9536036.553
49	9300593.981
50	9070964.645
51	8847005.037
52	8628575.161
53	8415538.506
54	8207761.917
55	8005115.529
56	7807472.689
57	7614709.866
58	7426706.576
59	7243345.331
60	7064511.519
61	6890093.367
62	6719981.866
63	6554070.695
64	6392256.155
65	6234437.126
66	6080514.965
67	5930393.473
68	5783978.831
69	5641179.514
70	5501906.292
71	5366072.113
72	5233592.091
73	5104383.43
74	4978365.38
75	4855459.189
76	4735588.039
77	4618677.019
78	4504653.077
79	4393444.948
80	4284983.129
81	4179199.849
82	4076028.998
83	3975406.11
84	3877268.304
85	3781554.265
86	3688204.173
87	3597159.699
88	3508363.96
89	3421761.467
90	3337298.113
91	3254921.132
92	3174579.053
93	3096221.684
94	3019800.07
95	2945266.466
96	2872574.321
97	2801678.225
98	2732533.886
99	2665098.119
100	2599328.818
101	2535184.891
102	2472626.278
103	2411613.919
104	2352109.717
105	2294076.52
106	2237478.091
107	2182279.107
108	2128445.108
109	2075942.482
110	2024738.475
111	1974801.127
112	1926099.283
113	1878602.556
114	1832281.319
115	1787106.68
116	1743050.473
117	1700085.219
118	1658184.138
119	1617321.121
120	1577470.699
121	1538608.042
122	1500708.943
123	1463749.814
124	1427707.631
125	1392559.965
126	1358284.949
127	1324861.276
128	1292268.155
129	1260485.334
130	1229493.063
131	1199272.101
132	1169803.693
133	1141069.555
134	1113051.87
135	1085733.276
136	1059096.847
137	1033126.111
138	1007804.99
139	983117.8467
140	959049.4241
141	935584.8824
142	912709.747
143	890409.9219
144	868671.6981
145	847481.7089
146	826826.9503
147	806694.7488
148	787072.7696
149	767949.011
150	749311.8023
151	731149.7667
152	713451.8475
153	696207.278
154	679405.5951
155	663036.6082
156	647090.4203
157	631557.4023
158	616428.1995
159	601693.7033
160	587345.0601
161	573373.6845
162	559771.2255
163	546529.5687
164	533640.8315
165	521097.3343
166	508891.5957
167	497016.4969
168	485464.9605
169	474230.1598
170	463305.4598
171	452684.4444
172	442360.7804
173	432328.5053
174	422581.5391
175	413114.2273
176	403920.8839
177	394996.2595
178	386334.8366
179	377931.4172
180	369781.121
181	361878.7344
182	354219.5585
183	346798.8739
184	339611.7493
185	332653.7419
186	325920.5103
187	319407.4942
188	313110.1935
189	307024.3589
190	301145.6353
191	295469.2001
192	289991.9901
193	284709.1105
194	279616.0741
195	274708.8341
196	269982.9574
197	265434.5841
198	261059.2497
199	256852.596
200	252810.1007
201	248928.4172
202	245202.9023
203	241629.1684
204	238203.3434
205	234919.9357
206	231775.8859
207	228766.3378
208	225886.6895
209	223134.0737
210	220502.4465
211	217988.9052
212	215588.8406
213	213298.0385
214	211113.509
215	209030.7772
216	207045.4297
217	205153.0951
218	203351.8359
219	201636.5068
220	200003.9495
221	198451.1615
222	196973.6368
223	195567.9146
224	194232.4693
225	192962.8451
226	191755.5739
227	190609.3956
228	189521.1299
229	188486.1762
230	187504.7848
231	186572.0654
232	185687.0843
233	184847.5611
234	184049.5177
235	183294.4284
236	182576.7783
237	181896.88
238	181250.1214
239	180638.0246
240	180057.5368
241	179506.3165
242	178984.3276
243	178490.0159
244	178020.1484
245	177575.2376
246	177153.7268
247	176752.4874
248	176373.4485
249	176014.0129
250	175672.3172
251	175348.6972
252	175040.7327
253	174749.4363
254	174471.9836
255	174209.1759
256	173960.616
257	173725.5028
258	173501.6249
259	173290.4554
260	173088.5763
261	172898.2051
262	172715.6762
263	172544.3351
264	172380.8442
265	172227.1091
266	172080.2135
267	171941.126
268	171808.7861
269	171684.0975
270	171565.9171
271	171453.2441
272	171345.349
273	171243.1401
274	171146.7921
275	171055.0689
276	170968.1677
277	170885.3177
278	170806.9519
279	170732.73
280	170661.1064
281	170594.1469
282	170531.172
283	170470.2212
284	170413.0193
285	170358.4831
286	170306.6609
287	170257.5891
288	170210.254
289	170166.2612
290	170123.2578
291	170083.0071
292	170043.6778
293	170007.9951
294	169973.5165
295	169940.0445
296	169908.6439
297	169879.1205
298	169849.839
299	169822.8068
300	169796.9455
301	169772.309
302	169748.2423
303	169725.7977
304	169705.3095
305	169685.6917
306	169665.6708
307	169647.8295
308	169630.917
309	169614.7613
310	169598.4644
311	169584.1583
312	169568.8504
313	169555.2443
314	169540.9428
315	169529.2402
316	169517.4864
317	169505.962
318	169494.1573
319	169483.6641
320	169472.9589
321	169463.4162
322	169453.5661
323	169445.1774
324	169435.5692
325	169427.6725
326	169420.0256
327	169411.9852
328	169403.6675
329	169396.4407
330	169389.8396
331	169382.9788
332	169376.049
333	169369.8336
334	169364.1676
335	169358.2095
336	169352.8125
337	169347.7725
338	169343.1348
339	169338.6881
340	169333.8521
341	169329.5848
342	169324.6735
343	169321.0648
344	169316.592
345	169312.382
346	169308.1838
347	169303.9828
348	169300.3941
349	169297.1754
350	169294.2933
351	169290.8627
352	169287.8015
353	169284.7291
354	169282.248
355	169279.656
356	169276.9258
357	169274.6473
358	169272.0374
359	169269.8855
360	169267.2854
361	169265.1437
362	169262.5615
363	169260.533
364	169258.4868
365	169256.3815
366	169254.6134
367	169252.798
368	169250.8768
369	169249.189
370	169247.6963
371	169245.7427
372	169243.8757
373	169242.118
374	169240.6604
375	169239.1859
376	169237.6703
377	169236.2043
378	169235.0131
379	169233.52
380	169232.2335
381	169231.1794
382	169229.7136
383	169228.6088
384	169227.4079
385	169226.4692
386	169225.1501
387	169224.2567
388	169223.4123
389	169222.313
390	169221.5444
391	169220.6183
392	169219.7974
393	169218.7693
394	169217.9595
395	169217.0557
396	169216.2057
397	169215.175
398	169214.2104
399	169213.465
400	169212.7637
