iter	Passed	Remaining
0	9	9811
1	18	9119
2	27	9001
3	35	8809
4	43	8648
5	51	8576
6	56	8079
7	65	8077
8	73	8063
9	80	7993
10	88	7912
11	96	7972
12	103	7832
13	110	7786
14	117	7704
15	124	7643
16	131	7576
17	137	7494
18	144	7457
19	151	7404
20	158	7409
21	161	7159
22	167	7122
23	174	7104
24	181	7072
25	188	7052
26	195	7048
27	202	7030
28	211	7084
29	219	7094
30	226	7090
31	233	7077
32	241	7066
33	247	7029
34	254	7016
35	261	6989
36	267	6968
37	274	6950
38	281	6935
39	287	6908
40	295	6902
41	299	6835
42	303	6764
43	310	6746
44	317	6735
45	326	6763
46	333	6771
47	340	6755
48	349	6779
49	356	6778
50	365	6805
51	374	6829
52	383	6858
53	392	6868
54	400	6880
55	408	6891
56	416	6893
57	424	6900
58	427	6825
59	436	6845
60	445	6864
61	453	6861
62	462	6872
63	470	6881
64	473	6810
65	481	6808
66	489	6811
67	497	6818
68	506	6831
69	515	6843
70	523	6849
71	532	6861
72	540	6858
73	549	6873
74	558	6892
75	568	6906
76	579	6949
77	590	6981
78	600	7003
79	610	7018
80	619	7032
81	628	7033
82	637	7041
83	647	7056
84	655	7052
85	663	7055
86	672	7059
87	683	7081
88	692	7086
89	701	7088
90	709	7087
91	718	7095
92	726	7087
93	734	7082
94	745	7104
95	753	7096
96	762	7097
97	770	7096
98	780	7102
99	789	7103
100	802	7143
101	813	7158
102	824	7182
103	834	7190
104	844	7199
105	852	7193
106	859	7172
107	867	7167
108	876	7165
109	885	7164
110	894	7163
111	902	7158
112	910	7144
113	917	7132
114	925	7119
115	933	7114
116	941	7105
117	950	7101
118	958	7098
119	967	7095
120	976	7095
121	984	7083
122	992	7079
123	1000	7068
124	1009	7068
125	1019	7069
126	1027	7061
127	1035	7055
128	1043	7048
129	1053	7048
130	1062	7045
131	1069	7034
132	1077	7022
133	1085	7012
134	1093	7004
135	1101	6996
136	1109	6987
137	1124	7025
138	1132	7016
139	1140	7004
140	1147	6993
141	1155	6984
142	1163	6974
143	1171	6961
144	1178	6948
145	1186	6941
146	1195	6936
147	1203	6928
148	1211	6921
149	1214	6883
150	1223	6877
151	1232	6873
152	1241	6870
153	1250	6868
154	1260	6870
155	1269	6870
156	1279	6868
157	1287	6858
158	1303	6892
159	1310	6882
160	1318	6870
161	1326	6859
162	1333	6849
163	1341	6838
164	1349	6829
165	1357	6822
166	1366	6817
167	1375	6810
168	1384	6807
169	1393	6802
170	1402	6797
171	1425	6862
172	1433	6852
173	1439	6834
174	1448	6828
175	1455	6816
176	1462	6801
177	1470	6789
178	1477	6775
179	1485	6765
180	1493	6758
181	1502	6751
182	1510	6745
183	1518	6736
184	1527	6728
185	1535	6718
186	1543	6712
187	1553	6708
188	1561	6699
189	1569	6690
190	1577	6680
191	1584	6669
192	1593	6662
193	1597	6636
194	1605	6627
195	1614	6622
196	1623	6616
197	1632	6611
198	1641	6606
199	1650	6601
200	1658	6594
201	1668	6592
202	1678	6589
203	1688	6587
204	1699	6588
205	1709	6587
206	1718	6582
207	1728	6580
208	1736	6572
209	1745	6567
210	1750	6544
211	1759	6539
212	1767	6530
213	1776	6523
214	1784	6516
215	1792	6506
216	1801	6499
217	1820	6530
218	1828	6521
219	1837	6516
220	1846	6508
221	1849	6480
222	1856	6470
223	1866	6465
224	1875	6459
225	1883	6450
226	1891	6440
227	1898	6429
228	1907	6422
229	1914	6409
230	1922	6398
231	1929	6386
232	1936	6375
233	1944	6363
234	1952	6354
235	1958	6341
236	1966	6330
237	1972	6316
238	1980	6305
239	1988	6295
240	1995	6283
241	2001	6269
242	2008	6255
243	2010	6227
244	2016	6213
245	2022	6199
246	2029	6187
247	2036	6174
248	2042	6161
249	2049	6148
250	2056	6137
251	2063	6123
252	2069	6109
253	2075	6095
254	2081	6081
255	2087	6066
256	2094	6054
257	2100	6041
258	2107	6028
259	2108	6001
260	2115	5989
261	2122	5977
262	2129	5966
263	2135	5954
264	2144	5947
265	2146	5923
266	2154	5915
267	2163	5909
268	2170	5898
269	2176	5885
270	2182	5869
271	2188	5856
272	2193	5841
273	2199	5827
274	2205	5813
275	2210	5798
276	2217	5786
277	2223	5773
278	2228	5758
279	2234	5746
280	2240	5733
281	2247	5722
282	2250	5701
283	2256	5688
284	2263	5679
285	2269	5666
286	2276	5654
287	2282	5641
288	2287	5627
289	2293	5614
290	2299	5602
291	2305	5589
292	2311	5577
293	2317	5564
294	2323	5553
295	2329	5540
296	2336	5530
297	2343	5520
298	2350	5510
299	2357	5501
300	2364	5491
301	2371	5480
302	2377	5468
303	2383	5457
304	2390	5446
305	2396	5436
306	2403	5425
307	2410	5416
308	2416	5404
309	2422	5392
310	2429	5383
311	2435	5370
312	2441	5358
313	2447	5346
314	2453	5336
315	2461	5328
316	2467	5317
317	2474	5307
318	2481	5297
319	2491	5294
320	2499	5286
321	2506	5278
322	2513	5268
323	2520	5259
324	2527	5249
325	2534	5239
326	2540	5229
327	2547	5219
328	2554	5209
329	2561	5200
330	2568	5190
331	2575	5181
332	2582	5172
333	2591	5167
334	2600	5161
335	2609	5156
